,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,37,510560,7.246944531494829e-05,4.13984506278244
1,1004.1040693206887,114,516764,0.0002206036024181251,3.656387399885225
2,1006.6449008910107,-6,520400,,
3,1010.4525372467173,89,525008,0.00016952122634321764,3.7707759145312996
4,1012.9885541506707,115,527424,0.00021804089309549813,3.6614620477704998
5,1016.7889685068244,86,530108,0.0001622310925320878,3.789865907085177
6,1019.3201707444091,83,531408,0.00015618884171860416,3.806349995766877
7,1021.8494471154465,68,532672,0.00012765829628739637,3.8939509559105994
8,1025.6397506722262,128,534620,0.00023942239347573977,3.6208352319241044
9,1028.1642123768952,36,536176,6.714213243412611e-05,4.1730048696762205
10,1031.947293934122,121,537276,0.00022521013408378563,3.647412070847144
11,1034.4669409724222,98,537588,0.00018229573576791148,3.7392234901718227
12,1038.242800530096,193,537616,0.0003589922918960745,3.4449148762766653
13,1040.7576329020278,138,537464,0.0002567613830879836,3.5904702935818498
14,1044.526270460149,-27,537080,,
15,1047.036288165712,76,536172,0.0001417455592608342,3.8484905382108954
16,1050.7977037242804,101,534028,0.00018912865992045362,3.723242654644222
17,1053.3029067634748,104,533108,0.00019508242232343164,3.709781860445817
18,1055.8061839361221,-46,532376,,
19,1059.5574886953164,102,531420,0.00019193857965451057,3.7168377232995247
20,1062.0559512015948,70,530992,0.00013182872811643112,3.8799899379748815
21,1065.8000339612363,108,530720,0.00020349713596623455,3.6914416986884575
22,1068.2936818011462,-54,530780,,
23,1072.030542561235,35,531160,6.589351607801793e-05,4.181157317880606
24,1074.5193757347763,-7,530976,,
25,1078.2490144953122,109,531516,0.00020507378893579872,3.6880898444974735
26,1080.733033002485,179,532264,0.0003362992800565133,3.473274062414232
27,1084.4554497634676,37,533968,6.929254187516856e-05,4.159313507044258
28,1086.9346536042722,36,535252,6.725803920396374e-05,4.172255797968625
29,1090.649848365702,102,536716,0.00019004464185900925,3.721144370437985
30,1093.1242375401378,113,538232,0.00020994664011058427,3.677891071219464
31,1095.596700848026,118,539956,0.00021853632518205188,3.6604763641172893
32,1099.3017848100822,105,542956,0.00019338583605301351,3.7135753376432965
33,1101.7694334516018,50,545076,9.173032751396135e-05,4.0374870558846165
34,1105.4672954141051,17,547836,3.1031184515073855e-05,4.508201646312648
35,1107.9301293892563,44,549660,8.004948513626606e-05,4.096641457038843
36,1111.6207693522065,199,552512,0.00036017317270937104,3.4434886384853383
37,1114.0787886609892,129,554496,0.00023264369806094183,3.6333087073019024
38,1117.7622066243866,58,557392,0.00010405603237936676,3.9827327376231243
39,1120.2154112668006,14,558920,2.50483074500823e-05,4.601221614703871
40,1123.8916072306451,-47,561472,,
41,1126.339997206691,32,563324,5.6805674886921205e-05,4.245608276102963
42,1128.7864613161887,4,565216,7.076940497084301e-06,5.150154455927395
43,1132.4525464806593,-32,568416,,
44,1134.8941959237889,86,570532,0.0001507365055772507,3.821781556903609
45,1138.5530590887065,48,573236,8.373514573404322e-05,4.077092219489987
46,1140.9898938654674,-23,575260,,
47,1144.6415350308325,-83,578484,,
48,1147.073555141225,124,580648,0.00021355451151127707,3.6704912493190753
49,1150.717974307037,92,583640,0.0001576314166266877,3.802357221441266
50,1153.1451797510606,5,585964,8.53294741656484e-06,5.06890093065543
51,1156.7823769173199,35,589744,5.934778480154101e-05,4.2265954867586135
52,1159.204767694975,11,592428,1.8567657166778074e-05,4.731242891291424
53,1161.6252326060828,77,595348,0.00012933611937891788,3.8882801738327366
54,1165.2523189729682,41,600000,6.833333333333333e-05,4.165367393663908
55,1167.6679692177072,5,603316,8.287530912490304e-06,5.081574838665732
56,1171.2878335850396,49,608376,8.054229621155338e-05,4.093975993082306
57,1173.6986691634104,35,611844,5.7204123927014074e-05,4.242572661168748
58,1177.3113115311899,42,617532,6.801266978877208e-05,4.167410176899533
59,1179.717332443192,129,621280,0.00020763584857069276,3.6826976629027235
60,1183.3227528114185,73,628292,0.00011618801449007786,3.9348386697881073
61,1185.723959057052,180,632688,0.00028450041726727865,3.5459170923032026
62,1189.322157425726,52,639664,8.129267865629455e-05,4.089948565873924
63,1191.7185490049908,54,644816,8.374482022778591e-05,4.077042045378376
64,1195.3095253741117,107,652792,0.000163911322442677,3.7853910457916853
65,1197.7011022870083,39,658476,5.922767116796968e-05,4.227475343482371
66,1200.090753333357,33,664176,4.968562549685626e-05,4.303769238436749
