,Wavelength (nm),S1_1,S1_2,S1_3,S1_4,S1_5,S2_1,S2_2,S2_3,S2_4,S2_5,S3_1,S3_2,S3_3,S3_4,S3_5,S4_1,S4_2,S4_3,S4_4,S4_5,S5_1,S5_2,S5_3,S5_4,S5_5,S6_1,S6_2,S6_3,S6_4,S6_5,S7_1,S7_2,S7_3,S7_4,S7_5
0,901.536745,-0.34745394541234675,-0.514898621534567,-0.39508157026753865,-0.510521525741464,-0.4903114479780777,-0.202944809331369,-0.3927868932071193,-0.3980512268864774,-0.294091592968881,-0.3117982976623684,-0.20615791118623097,-0.4170740687760919,-0.22392003167216393,-0.19807938872302902,-0.22368308435119086,-0.6234371601599255,-0.46157846770628413,-0.5596011431419191,-0.47676954418139955,-0.5408048635222853,-0.5797594682022277,-0.7109180622861548,-0.6389230495167337,-0.5416279896867836,-0.5535986755623692,-0.6564379880663249,-0.6045902439334256,-0.6798878986204627,-0.7445968004916538,-0.6016400536889893,-0.42870626035357456,-0.6436069841597171,-0.8269152715971103,-0.8586338898656386,-0.5623465027444038
1,905.42206,-0.4925975046236099,-0.49505609782009014,-0.5405131316427886,-0.5099925931974958,-0.37203911393342814,-0.24584194083327907,-0.24465188846588118,-0.39298962011378336,-0.24183911751269324,-0.3491462099572893,-0.164120050195926,-0.3200539518821439,-0.32131239860359345,-0.1661583215122069,-0.279019189522767,-0.4839685098829286,-0.5752100103951261,-0.39687118327898774,-0.30649225366428096,-0.404759798779185,-0.5718279551942473,-0.3925748726061105,-0.4810186910733534,-0.6406474712514958,-0.6629011858709213,-0.5497226411595242,-0.8670646994594813,-0.5478681511274296,-0.6720575418931028,-0.621274232598825,-0.783012866642151,-0.6170919803596904,-0.5919730953340465,-0.5411642407919806,-0.8788720940778908
2,909.302883,-0.4981649069582317,-0.3317827693725104,-0.549298591664192,-0.4216493598212128,-0.4418503240626574,-0.2846997315478509,-0.15094705371783906,-0.39158485700065715,-0.24282038465741015,-0.4172420452699399,-0.3631256388473321,-0.4595555712604015,-0.42445934486504966,-0.2555456306063091,-0.34354348867197093,-0.3969870650679122,-0.6198117521164923,-0.4947953676688669,-0.18604501139437737,-0.49162737972059506,-0.7500210262163857,-0.4715826614798712,-0.6019700919544929,-0.5331235899469431,-0.6214195197598267,-0.6046054192166793,-0.6429774647610396,-0.6421480099631428,-0.6036835172450504,-0.7104181595651642,-0.8168290800224024,-0.5855852188186496,-0.6659821143973416,-0.6237324029313753,-0.5838104136943059
3,913.179214,-0.35108886098619024,-0.31667995780035796,-0.4843850814275122,-0.46168725369290564,-0.43121560761616806,-0.3321925868656595,-0.24845194140175125,-0.23385002744100344,-0.28570621918675293,-0.10956213974300287,-0.22331877195215186,-0.3399335845202713,-0.24550748061831834,-0.3818465491924926,-0.2302120825492576,-0.5460729649953113,-0.4412571279027566,-0.41440609843781295,-0.442370557946991,-0.5006545048269433,-0.6089607743517301,-0.6957941697035589,-0.4095683595804282,-0.43577957835898706,-0.5159612324173067,-0.5052637431922542,-0.6052396911841014,-0.7379648505657227,-0.7182448932369903,-0.5560856820374316,-0.6005534528695801,-0.6754434522886723,-0.7386641476759048,-0.5284138743994587,-0.44113006390015747
4,917.051054,-0.40745305817553856,-0.5423728851392277,-0.4792678959438409,-0.4108867324048123,-0.4810017503737847,-0.4020075292892621,-0.3080568893635008,-0.48871419225112994,-0.21774231865208274,-0.366850235248136,-0.33889425353040387,-0.32110738467146777,-0.32170640583700055,-0.3367056460660789,-0.2868622650126792,-0.6182486632387059,-0.4688505911237136,-0.5053423357161742,-0.5470912301344252,-0.48566170790338786,-0.45896069901661846,-0.5980349863362486,-0.4688202416415183,-0.6854404861277221,-0.6234510197012263,-0.7256343625422121,-0.5681583481616106,-0.5569782612364913,-0.5895900958380019,-0.5880891139713043,-0.7204997387089338,-0.5795054293375188,-0.7348605597087775,-0.7480320274174,-0.6162648420229468
5,922.206521,-0.45560418663158064,-0.40385393705725026,-0.34835994190763925,-0.40970238344766613,-0.34112584824986314,-0.2895847745385999,-0.32326827773326217,-0.33838224131938316,-0.20885516053458714,-0.42028562140621223,-0.2937220362958367,-0.2943543638336931,-0.19093747879141476,-0.2462158172181997,-0.15143987449555407,-0.4372071813804369,-0.5652985122348235,-0.42203522686674516,-0.39541247875183155,-0.4373906362537708,-0.4295132698408432,-0.555684898092312,-0.4742559024958342,-0.5904310156448205,-0.45555536300595445,-0.4234467783256589,-0.6232007484823779,-0.6518938716212253,-0.48806164617693565,-0.658822502095196,-0.6374176482660778,-0.6735509364740463,-0.6291681127258771,-0.5150911231379217,-0.6195115940300078
6,926.067882,-0.40924751016768846,-0.38797073704519985,-0.4032575677481906,-0.41427879980634913,-0.34280804608430215,-0.1394837610939118,-0.3031279971731515,-0.2347865361830876,-0.3005144324615753,-0.3953015403754909,-0.3152043516842443,-0.3283145337548603,-0.27874924878420443,-0.16702161528167575,-0.26143952559484857,-0.49259438601445626,-0.5297038675380914,-0.45468901164052,-0.44922265131234185,-0.4364934732052914,-0.3148120001448534,-0.39474340122101126,-0.6161314189170561,-0.5027348525012207,-0.45509436878848303,-0.5772794624172849,-0.536475098953881,-0.5983440296074615,-0.5220463272035344,-0.5773490502941299,-0.6457160251103109,-0.6324760897517469,-0.5858768438081509,-0.6221270936435662,-0.5493333112322347
7,929.924751,-0.4109039273912125,-0.42945756366627297,-0.2523868406790606,-0.44840644742587343,-0.4529113509192438,-0.27735547557087015,-0.3327684100729374,-0.27841223508518903,-0.326718725530726,-0.2500794790161928,-0.3057075646584431,-0.3839483010642897,-0.19286604051282827,-0.31282465215404104,-0.3370765728656444,-0.5712649705824474,-0.4859880697863611,-0.5507175295267436,-0.44451299145206025,-0.4642962786045528,-0.5160453622071893,-0.48529541595644665,-0.44768950741399055,-0.4216055787925874,-0.5505826794955238,-0.5839675358172388,-0.5338982598624871,-0.5150396178433247,-0.5499192076595514,-0.6222601368816902,-0.6518513179430144,-0.4586745589988756,-0.567496119918651,-0.6255350863119493,-0.6616146361860824
8,933.777128,-0.4994532314654168,-0.3751172803880486,-0.4194370733111674,-0.36889408782714933,-0.42626118933665474,-0.3727751649687649,-0.37466958200404515,-0.26671702472272996,-0.3394194445970082,-0.3020878404656881,-0.3669680888610603,-0.2564829335561272,-0.3655656320820706,-0.30983952791503705,-0.3036658990438391,-0.47315605290602863,-0.540870452988712,-0.47359921426278284,-0.3834259326760561,-0.4696977551026145,-0.5609667842283639,-0.43593747237244534,-0.5716130386452981,-0.5874691658754834,-0.5514734140852152,-0.5900749501249385,-0.5392684204621663,-0.6042055191638279,-0.5988136122241987,-0.6068143031167944,-0.6210306481787299,-0.6185163128194778,-0.7292110162688322,-0.6653783365044741,-0.7014855363373019
9,937.625014,-0.45375222015250244,-0.4560366758251675,-0.49633284708489234,-0.5122922999104015,-0.46208278568783057,-0.38155488915942753,-0.3030832906680236,-0.4363588940031713,-0.347793667616129,-0.29867635952173377,-0.2227356359067085,-0.44189753450470826,-0.346871025718037,-0.3698852499769684,-0.32451523560343615,-0.5158870311215019,-0.4336343183306798,-0.49480466015172925,-0.47606771251594615,-0.4812591345933257,-0.5283435740684126,-0.5423468526043399,-0.5265860585275235,-0.5251512114793431,-0.5913611340884426,-0.5141695145710642,-0.5392055707282304,-0.5582148329307417,-0.6057556688083637,-0.6374472581751953,-0.7054302534286094,-0.6789317479888002,-0.5663136573381967,-0.6667467968809676,-0.6604822005062005
