,Wavelength (nm),intensity,reference,reflectance,absorption
0,1000.2892109654294,0,7977,,
1,1004.1040693206887,0,8074,,
2,1006.6449008910107,0,8131,,
3,1010.4525372467173,0,8203,,
4,1012.9885541506707,0,8241,,
5,1016.7889685068244,0,8282,,
6,1019.3201707444091,0,8303,,
7,1021.8494471154465,0,8323,,
8,1025.6397506722262,0,8353,,
9,1028.1642123768952,0,8377,,
10,1031.947293934122,0,8394,,
11,1034.4669409724222,0,8399,,
12,1038.242800530096,0,8400,,
13,1040.7576329020278,0,8397,,
14,1044.526270460149,0,8391,,
15,1047.036288165712,0,8377,,
16,1050.7977037242804,0,8344,,
17,1053.3029067634748,0,8329,,
18,1055.8061839361221,0,8318,,
19,1059.5574886953164,0,8303,,
20,1062.0559512015948,0,8296,,
21,1065.8000339612363,0,8292,,
22,1068.2936818011462,0,8293,,
23,1072.030542561235,0,8299,,
24,1074.5193757347763,0,8296,,
25,1078.2490144953122,0,8304,,
26,1080.733033002485,0,8316,,
27,1084.4554497634676,0,8343,,
28,1086.9346536042722,0,8363,,
29,1090.649848365702,0,8386,,
30,1093.1242375401378,0,8409,,
31,1095.596700848026,0,8436,,
32,1099.3017848100822,0,8483,,
33,1101.7694334516018,0,8516,,
34,1105.4672954141051,0,8559,,
35,1107.9301293892563,0,8588,,
36,1111.6207693522065,0,8633,,
37,1114.0787886609892,0,8664,,
38,1117.7622066243866,0,8709,,
39,1120.2154112668006,0,8733,,
40,1123.8916072306451,0,8773,,
41,1126.339997206691,0,8801,,
42,1128.7864613161887,0,8831,,
43,1132.4525464806593,0,8881,,
44,1134.8941959237889,0,8914,,
45,1138.5530590887065,0,8956,,
46,1140.9898938654674,0,8988,,
47,1144.6415350308325,0,9038,,
48,1147.073555141225,0,9072,,
49,1150.717974307037,0,9119,,
50,1153.1451797510606,0,9155,,
51,1156.7823769173199,0,9214,,
52,1159.204767694975,0,9256,,
53,1161.6252326060828,0,9302,,
54,1165.2523189729682,0,9375,,
55,1167.6679692177072,0,9426,,
56,1171.2878335850396,0,9505,,
57,1173.6986691634104,0,9560,,
58,1177.3113115311899,0,9648,,
59,1179.717332443192,0,9707,,
60,1183.3227528114185,0,9817,,
61,1185.723959057052,0,9885,,
62,1189.322157425726,0,9994,,
63,1191.7185490049908,0,10075,,
64,1195.3095253741117,0,10199,,
65,1197.7011022870083,0,10288,,
66,1200.090753333357,0,10377,,
