,Wavelength (nm),bf1
0,900.0,0.00065
1,903.0,-5e-05
2,906.0,0.00048
3,910.0,0.0007
4,912.0,-1e-05
5,915.0,0.00037
6,918.0,0.00078
7,920.0,0.00075
8,923.0,-0.00085
9,925.0,0.00052
10,929.0,3e-05
11,932.0,0.00011
12,934.0,0.00079
13,937.0,0.0004
14,940.0,-2e-05
15,942.0,0.00074
16,945.0,3e-05
17,949.0,0.00081
18,951.0,0.00038
19,954.0,5e-05
20,957.0,0.00039
21,959.0,1e-05
22,962.0,-0.00011
23,964.0,0.00032
24,968.0,3e-05
25,971.0,0.00011
26,973.0,0.00016
27,976.0,-9e-05
28,978.0,8e-05
29,981.0,-8e-05
30,985.0,-8e-05
31,987.0,-6e-05
32,990.0,-0.0003
33,993.0,-0.00039
34,995.0,-1e-05
35,998.0,-0.00025
36,1000.0,-0.00029
37,1004.0,-2e-05
38,1007.0,-1e-05
39,1009.0,4e-05
40,1012.0,-0.00013
41,1014.0,-0.00024
42,1017.0,-0.00034
43,1019.0,3e-05
44,1023.0,-0.0001
45,1026.0,-8e-05
46,1028.0,-0.00034
47,1031.0,-8e-05
48,1033.0,-0.00026
49,1036.0,-0.00026
50,1038.0,-0.00016
51,1042.0,2e-05
52,1045.0,-0.00023
53,1047.0,-0.00028
54,1050.0,-4e-05
55,1052.0,-0.00011
56,1055.0,-0.00013
57,1057.0,-0.00022
58,1061.0,-0.00027
59,1063.0,-0.0002
60,1066.0,-0.00023
61,1069.0,-0.00015
62,1071.0,-1e-05
63,1074.0,-5e-05
64,1076.0,-0.00018
65,1080.0,-0.00019
66,1082.0,-0.00016
67,1085.0,-0.00019
68,1087.0,-2e-05
69,1090.0,-0.00017
70,1092.0,-0.00012
71,1096.0,-5e-05
72,1098.0,-0.00017
73,1101.0,-8e-05
74,1103.0,-4e-05
75,1106.0,-4e-05
76,1108.0,-0.00011
77,1111.0,-0.00024
78,1114.0,2e-05
79,1117.0,-0.00015
80,1119.0,-0.00017
81,1122.0,-0.00015
82,1124.0,9e-05
83,1127.0,-0.00025
84,1129.0,-2e-05
85,1133.0,-0.00012
86,1135.0,-8e-05
87,1138.0,2e-05
88,1140.0,-8e-05
89,1143.0,-9e-05
90,1145.0,-0.0001
91,1148.0,-4e-05
92,1151.0,1e-05
93,1154.0,-0.00023
